EDGES START
2056.44	3330.98	2056.22	3333.33
5389.77	3330.98	5389.56	3333.33
8723.11	3330.98	8722.89	3333.33
5389.77	6664.31	5389.56	6666.67
2056.44	6664.31	2056.22	6666.67
8723.11	6664.31	8722.89	6666.67
2056.44	9997.64	2056.22	10000.00
5389.77	9997.64	5389.56	10000.00
8723.11	9997.64	8722.89	10000.00
3165.11	3333.33	3184.53	3315.30
6498.44	3333.33	6517.87	3315.30
9831.78	3333.33	9851.20	3315.30
6498.44	6666.67	6517.87	6648.63
3165.11	6666.67	3184.53	6648.63
9831.78	6666.67	9851.20	6648.63
3165.11	10000.00	3184.53	9981.96
6498.44	10000.00	6517.87	9981.96
9831.78	10000.00	9851.20	9981.96
3257.79	3324.37	3258.84	3333.33
6591.12	3324.37	6592.17	3333.33
9924.46	3324.37	9925.51	3333.33
6591.12	6657.70	6592.17	6666.67
3257.79	6657.70	3258.84	6666.67
9924.46	6657.70	9925.51	6666.67
3257.79	9991.03	3258.84	10000.00
6591.12	9991.03	6592.17	10000.00
9924.46	9991.03	9925.51	10000.00
3218.72	3313.01	3212.20	3333.33
6552.06	3313.01	6545.53	3333.33
9885.39	3313.01	9878.86	3333.33
6552.06	6646.34	6545.53	6666.67
3218.72	6646.34	3212.20	6666.67
9885.39	6646.34	9878.86	6666.67
3218.72	9979.68	3212.20	10000.00
6552.06	9979.68	6545.53	10000.00
9885.39	9979.68	9878.86	10000.00
2056.44	3330.98	2060.34	3333.33
5389.77	3330.98	5393.67	3333.33
8723.11	3330.98	8727.00	3333.33
5389.77	6664.31	5393.67	6666.67
2056.44	6664.31	2060.34	6666.67
8723.11	6664.31	8727.00	6666.67
2056.44	9997.64	2060.34	10000.00
5389.77	9997.64	5393.67	10000.00
8723.11	9997.64	8727.00	10000.00
1351.44	3306.67	1337.41	3333.33
4684.78	3306.67	4670.74	3333.33
8018.11	3306.67	8004.08	3333.33
4684.78	6640.00	4670.74	6666.67
1351.44	6640.00	1337.41	6666.67
8018.11	6640.00	8004.08	6666.67
1351.44	9973.34	1337.41	10000.00
4684.78	9973.34	4670.74	10000.00
8018.11	9973.34	8004.08	10000.00
1476.20	3305.34	1454.88	3333.33
4809.53	3305.34	4788.21	3333.33
8142.87	3305.34	8121.54	3333.33
4809.53	6638.67	4788.21	6666.67
1476.20	6638.67	1454.88	6666.67
8142.87	6638.67	8121.54	6666.67
1476.20	9972.00	1454.88	10000.00
4809.53	9972.00	4788.21	10000.00
8142.87	9972.00	8121.54	10000.00
1264.81	3302.44	1262.80	3333.33
4598.14	3302.44	4596.14	3333.33
7931.47	3302.44	7929.47	3333.33
4598.14	6635.77	4596.14	6666.67
1264.81	6635.77	1262.80	6666.67
7931.47	6635.77	7929.47	6666.67
1264.81	9969.10	1262.80	10000.00
4598.14	9969.10	4596.14	10000.00
7931.47	9969.10	7929.47	10000.00
3278.00	3318.38	3294.76	3333.33
6611.33	3318.38	6628.09	3333.33
9944.66	3318.38	9961.42	3333.33
6611.33	6651.71	6628.09	6666.67
3278.00	6651.71	3294.76	6666.67
9944.66	6651.71	9961.42	6666.67
3278.00	9985.04	3294.76	10000.00
6611.33	9985.04	6628.09	10000.00
9944.66	9985.04	9961.42	10000.00
1504.58	3316.76	1517.91	3333.33
4837.92	3316.76	4851.24	3333.33
8171.25	3316.76	8184.58	3333.33
4837.92	6650.10	4851.24	6666.67
1504.58	6650.10	1517.91	6666.67
8171.25	6650.10	8184.58	6666.67
1504.58	9983.43	1517.91	10000.00
4837.92	9983.43	4851.24	10000.00
8171.25	9983.43	8184.58	10000.00
1073.08	3330.81	1072.33	3333.33
4406.41	3330.81	4405.67	3333.33
7739.75	3330.81	7739.00	3333.33
4406.41	6664.14	4405.67	6666.67
1073.08	6664.14	1072.33	6666.67
7739.75	6664.14	7739.00	6666.67
1073.08	9997.48	1072.33	10000.00
4406.41	9997.48	4405.67	10000.00
7739.75	9997.48	7739.00	10000.00
2016.28	3313.45	2001.51	3333.33
5349.61	3313.45	5334.84	3333.33
8682.95	3313.45	8668.18	3333.33
5349.61	6646.78	5334.84	6666.67
2016.28	6646.78	2001.51	6666.67
8682.95	6646.78	8668.18	6666.67
2016.28	9980.11	2001.51	10000.00
5349.61	9980.11	5334.84	10000.00
8682.95	9980.11	8668.18	10000.00
2175.46	3221.70	2203.60	3333.33
5508.80	3221.70	5536.93	3333.33
8842.13	3221.70	8870.26	3333.33
5508.80	6555.04	5536.93	6666.67
2175.46	6555.04	2203.60	6666.67
8842.13	6555.04	8870.26	6666.67
2175.46	9888.37	2203.60	10000.00
5508.80	9888.37	5536.93	10000.00
8842.13	9888.37	8870.26	10000.00
1504.58	3316.76	1508.48	3313.30
4837.92	3316.76	4841.81	3313.30
